Date_assay,Batch,Session,Session_order,Unit,Assay,Assay_ID_complex,Assay_ID,Operator,Time
14/5/2022,5,M,3,U2,ymaze_P3,5_M_3_U2_ymaze_P3,Y054,SB,11:18
14/5/2022,5,A,1,U4,ymaze_P1,5_A_1_U4_ymaze_P1,Y055,SB,13:53
14/5/2022,5,A,1,U3,ymaze_P2,5_A_1_U3_ymaze_P2,Y056,SB,13:54
14/5/2022,5,A,1,U2,ymaze_P3,5_A_1_U2_ymaze_P3,Y057,SB,13:54
14/5/2022,5,A,2,U1,locomotion,5_A_2_U1_locomotion,W037,SB,15:09
14/5/2022,5,A,3,U1,habituation,5_A_3_U1_habituation,W038,SB,15:45
14/5/2022,5,A,1,U1,locomotion,5_A_1_U1_locomotion,W039,EM,13:50
14/5/2022,5,A,2,U1,habituation,5_A_2_U1_habituation,W040,EM,14:26
14/5/2022,5,A,3,U4,ymaze_P1,5_A_3_U4_ymaze_P1,Y058,EM,15:00
14/5/2022,5,A,3,U3,ymaze_P2,5_A_3_U3_ymaze_P2,Y059,EM,15:00
14/5/2022,5,A,3,U2,ymaze_P3,5_A_3_U2_ymaze_P3,Y060,EM,15:00
16/5/2022,6,M,1,U1,ymaze_P1,6_M_1_U1_ymaze_P1,Y061,EM,10:04
16/5/2022,6,M,1,U4,ymaze_P2,6_M_1_U4_ymaze_P2,Y062,EM,10:04
16/5/2022,6,M,1,U3,ymaze_P3,6_M_1_U3_ymaze_P3,Y063,EM,10:04
16/5/2022,6,M,2,U2,locomotion,6_M_2_U2_locomotion,W041,EM,11:19
16/5/2022,6,M,3,U2,habituation,6_M_3_U2_habituation,W042,EM,11:57
16/5/2022,6,M,1,U2,locomotion,6_M_1_U2_locomotion,W043,SB,10:12
16/5/2022,6,M,2,U2,habituation,6_M_2_U2_habituation,W044,SB,10:48
16/5/2022,6,M,3,U1,ymaze_P1,6_M_3_U1_ymaze_P1,Y064,SB,11:17
16/5/2022,6,M,3,U4,ymaze_P2,6_M_3_U4_ymaze_P2,Y065,SB,11:17
16/5/2022,6,M,3,U3,ymaze_P3,6_M_3_U3_ymaze_P3,Y066,SB,11:18
16/5/2022,6,A,1,U1,ymaze_P1,6_A_1_U1_ymaze_P1,Y068,SB,13:37
16/5/2022,6,A,1,U4,ymaze_P2,6_A_1_U4_ymaze_P2,Y069,SB,13:38
16/5/2022,6,A,1,U3,ymaze_P3,6_A_1_U3_ymaze_P3,Y070,SB,13:38
16/5/2022,6,A,2,U2,locomotion,6_A_2_U2_locomotion,W045,SB,14:55
16/5/2022,6,A,3,U2,habituation,6_A_3_U2_habituation,W046,SB,15:35
16/5/2022,6,A,1,U2,locomotion,6_A_1_U2_locomotion,W047,EM,13:36
16/5/2022,6,A,2,U2,habituation,6_A_2_U2_habituation,W048,EM,14:09
16/5/2022,6,A,3,U1,ymaze_P1,6_A_3_U1_ymaze_P1,Y071,EM,14:44
16/5/2022,6,A,3,U4,ymaze_P2,6_A_3_U4_ymaze_P2,Y072,EM,14:44
16/5/2022,6,A,3,U3,ymaze_P3,6_A_3_U3_ymaze_P3,Y073,EM,14:44
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
