"Datafile_ID","time_bin","Block","Trial","Type","pre_post_counter","startle_number","Well","distance","activity","Individual_ID","Date","ID","Batch","Session","Assay_name","Assay_ID","Treatment","Sex","Treatment_Sex","Position","Comment","Exclude_mean","Exclude_correlation"
"W028",10,"1",7,"STARTLE",0,1,"A2",1.5,0,"W028_A2",2022-06-08,548,4,"M","Habituation","W028","GM","F","GM-F","A2",NA,"keep","keep"
"W028",12,"1",9,"STARTLE",0,2,"A2",0,0,"W028_A2",2022-06-08,548,4,"M","Habituation","W028","GM","F","GM-F","A2",NA,"keep","keep"
"W028",14,"1",11,"STARTLE",0,3,"A2",0,0,"W028_A2",2022-06-08,548,4,"M","Habituation","W028","GM","F","GM-F","A2",NA,"keep","keep"
"W026",10,"1",7,"STARTLE",0,1,"A2",0,0,"W026_A2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W026",12,"1",9,"STARTLE",0,2,"A2",0,0,"W026_A2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W026",14,"1",11,"STARTLE",0,3,"A2",0,0,"W026_A2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W032",10,"1",7,"STARTLE",0,1,"A2",0,0,"W032_A2",2022-06-08,632,4,"A","Habituation","W032","GS","F","GS-F","A2",NA,"keep","keep"
"W032",12,"1",9,"STARTLE",0,2,"A2",0,0,"W032_A2",2022-06-08,632,4,"A","Habituation","W032","GS","F","GS-F","A2",NA,"keep","keep"
"W032",14,"1",11,"STARTLE",0,3,"A2",0,0,"W032_A2",2022-06-08,632,4,"A","Habituation","W032","GS","F","GS-F","A2",NA,"keep","keep"
"W030",10,"1",7,"STARTLE",0,1,"A2",0,0,"W030_A2",2022-06-08,590,4,"A","Habituation","W030","I","M","I-M","A2",NA,"keep","keep"
"W030",12,"1",9,"STARTLE",0,2,"A2",0,0,"W030_A2",2022-06-08,590,4,"A","Habituation","W030","I","M","I-M","A2",NA,"keep","keep"
"W030",14,"1",11,"STARTLE",0,3,"A2",0,0,"W030_A2",2022-06-08,590,4,"A","Habituation","W030","I","M","I-M","A2",NA,"keep","keep"
"W036",10,"1",7,"STARTLE",0,1,"A2",0,0,"W036_A2",2022-06-14,716,5,"M","Habituation","W036","I","F","I-F","A2",NA,"keep","keep"
"W036",12,"1",9,"STARTLE",0,2,"A2",0,0,"W036_A2",2022-06-14,716,5,"M","Habituation","W036","I","F","I-F","A2",NA,"keep","keep"
"W036",14,"1",11,"STARTLE",0,3,"A2",0,0,"W036_A2",2022-06-14,716,5,"M","Habituation","W036","I","F","I-F","A2",NA,"keep","keep"
"W034",10,"1",7,"STARTLE",0,1,"A2",0,0,"W034_A2",2022-06-14,674,5,"M","Habituation","W034","I","F","I-F","A2",NA,"keep","keep"
"W034",12,"1",9,"STARTLE",0,2,"A2",0,0,"W034_A2",2022-06-14,674,5,"M","Habituation","W034","I","F","I-F","A2",NA,"keep","keep"
"W034",14,"1",11,"STARTLE",0,3,"A2",0,0,"W034_A2",2022-06-14,674,5,"M","Habituation","W034","I","F","I-F","A2",NA,"keep","keep"
"W040",10,"1",7,"STARTLE",0,1,"A2",0,0,"W040_A2",2022-06-14,800,5,"A","Habituation","W040","GM","F","GM-F","A2",NA,"keep","keep"
"W040",12,"1",9,"STARTLE",0,2,"A2",0,0,"W040_A2",2022-06-14,800,5,"A","Habituation","W040","GM","F","GM-F","A2",NA,"keep","keep"
"W040",14,"1",11,"STARTLE",0,3,"A2",0,0,"W040_A2",2022-06-14,800,5,"A","Habituation","W040","GM","F","GM-F","A2",NA,"keep","keep"
"W038",10,"1",7,"STARTLE",0,1,"A2",0,0,"W038_A2",2022-06-14,758,5,"A","Habituation","W038","I","M","I-M","A2",NA,"keep","keep"
"W038",12,"1",9,"STARTLE",0,2,"A2",0,0,"W038_A2",2022-06-14,758,5,"A","Habituation","W038","I","M","I-M","A2",NA,"keep","keep"
"W038",14,"1",11,"STARTLE",0,3,"A2",0,0,"W038_A2",2022-06-14,758,5,"A","Habituation","W038","I","M","I-M","A2",NA,"keep","keep"
"W044",10,"1",7,"STARTLE",0,1,"A2",0,0,"W044_A2",2022-06-16,884,6,"M","Habituation","W044","GS","F","GS-F","A2",NA,"keep","keep"
"W044",12,"1",9,"STARTLE",0,2,"A2",0,0,"W044_A2",2022-06-16,884,6,"M","Habituation","W044","GS","F","GS-F","A2",NA,"keep","keep"
"W044",14,"1",11,"STARTLE",0,3,"A2",3.8,0.347,"W044_A2",2022-06-16,884,6,"M","Habituation","W044","GS","F","GS-F","A2",NA,"keep","keep"
