"Individual_ID","LLL","LLR","LRL","LRR","RLL","RLR","RRL","RRR","L","R","total_turns","reps","alter","partial","rel_reps","rel_alter","rel_R","rel_L","asymmetry","Date","ID","Batch","Session","Assay_name","Assay_ID","Treatment","Sex","Treatment_Sex","Position","Comment","Exclude_mean","Exclude_correlation"
"Y027_11",23,7,4,7,7,4,7,3,43,21,64,26,8,28,40.625,12.5,32.8125,67.1875,0.511627906976744,2022-06-07,375,3,"M","Ymaze","Y027","GS","F","GS-F","11",NA,"keep","keep"
"Y027_12",12,12,9,9,12,6,9,18,44,45,89,30,15,42,33.7078651685393,16.8539325842697,50.561797752809,49.438202247191,-0.0227272727272727,2022-06-07,376,3,"M","Ymaze","Y027","GS","F","GS-F","12",NA,"keep","keep"
"Y027_13",1,1,1,1,0,1,1,1,5,4,9,2,2,3,22.2222222222222,22.2222222222222,44.4444444444444,55.5555555555556,0.2,2022-06-07,377,3,"M","Ymaze","Y027","GS","F","GS-F","13",NA,"keep","keep"
"Y027_14",1,1,0,2,0,1,1,9,4,13,17,10,1,4,58.8235294117647,5.88235294117647,76.4705882352941,23.5294117647059,-2.25,2022-06-07,378,3,"M","Ymaze","Y027","GS","F","GS-F","14",NA,"keep","keep"
"Y027_2",25,18,14,13,19,9,14,65,72,107,179,90,23,64,50.2793296089385,12.8491620111732,59.7765363128492,40.2234636871508,-0.486111111111111,2022-06-07,366,3,"M","Ymaze","Y027","GM","M","GM-M","2",NA,"keep","keep"
"Y027_3",17,7,3,9,7,4,8,60,36,81,117,77,7,31,65.8119658119658,5.98290598290598,69.2307692307692,30.7692307692308,-1.25,2022-06-07,367,3,"M","Ymaze","Y027","GM","M","GM-M","3",NA,"keep","keep"
"Y027_4",24,10,3,9,10,2,9,39,48,60,108,63,5,38,58.3333333333333,4.62962962962963,55.5555555555556,44.4444444444444,-0.25,2022-06-07,368,3,"M","Ymaze","Y027","GM","M","GM-M","4",NA,"keep","keep"
"Y027_5",12,7,2,7,8,2,8,14,30,32,62,26,4,30,41.9354838709677,6.45161290322581,51.6129032258064,48.3870967741936,-0.0666666666666667,2022-06-07,369,3,"M","Ymaze","Y027","GM","M","GM-M","5",NA,"keep","keep"
"Y027_6",36,15,8,21,15,13,20,18,80,68,148,54,21,71,36.4864864864865,14.1891891891892,45.9459459459459,54.0540540540541,0.15,2022-06-07,370,3,"M","Ymaze","Y027","GM","M","GM-M","6",NA,"keep","keep"
"Y027_7",67,16,6,15,16,4,15,50,105,86,191,117,10,62,61.2565445026178,5.23560209424084,45.0261780104712,54.9738219895288,0.180952380952381,2022-06-07,371,3,"M","Ymaze","Y027","GM","M","GM-M","7",NA,"keep","keep"
"Y027_8",25,15,8,11,15,5,11,18,60,50,110,43,13,52,39.0909090909091,11.8181818181818,45.4545454545455,54.5454545454545,0.166666666666667,2022-06-07,372,3,"M","Ymaze","Y027","GS","F","GS-F","8",NA,"keep","keep"
"Y027_9",0,1,1,0,1,0,1,0,3,3,6,0,1,3,0,16.6666666666667,50,50,0,2022-06-07,373,3,"M","Ymaze","Y027","GS","F","GS-F","9",NA,"keep","keep"
"Y028_10",11,8,4,7,7,3,6,13,30,31,61,24,7,28,39.344262295082,11.4754098360656,50.8196721311475,49.1803278688525,-0.0333333333333334,2022-06-07,388,3,"M","Ymaze","Y028","GM","M","GM-M","10","May not be same fly as B2","keep","exclude"
"Y028_12",56,31,16,31,31,16,31,58,135,137,272,114,32,124,41.9117647058824,11.7647058823529,50.3676470588235,49.6323529411765,-0.0148148148148148,2022-06-07,390,3,"M","Ymaze","Y028","GM","M","GM-M","12","May not be same fly as B4","keep","exclude"
"Y028_3",1,0,0,0,0,0,0,0,3,0,3,1,0,0,33.3333333333333,0,0,100,1,2022-06-07,381,3,"M","Ymaze","Y028","GM","F","GM-F","3",NA,"keep","keep"
"Y028_7",0,0,0,0,0,0,1,0,1,2,3,0,0,1,0,0,66.6666666666667,33.3333333333333,-1,2022-06-07,385,3,"M","Ymaze","Y028","GM","F","GM-F","7",NA,"keep","keep"
"Y028_8",41,3,1,6,4,4,7,65,53,80,133,106,5,20,79.6992481203008,3.7593984962406,60.1503759398496,39.8496240601504,-0.509433962264151,2022-06-07,386,3,"M","Ymaze","Y028","GM","M","GM-M","8",NA,"keep","keep"
"Y028_9",7,5,3,5,5,3,5,1,22,14,36,8,6,20,22.2222222222222,16.6666666666667,38.8888888888889,61.1111111111111,0.363636363636364,2022-06-07,387,3,"M","Ymaze","Y028","GM","M","GM-M","9",NA,"keep","keep"
"Y029_10",19,16,5,18,16,7,18,30,58,73,131,49,12,68,37.4045801526718,9.16030534351145,55.7251908396947,44.2748091603053,-0.258620689655172,2022-06-07,402,3,"M","Ymaze","Y029","I","F","I-F","10",NA,"keep","keep"
"Y029_11",12,7,8,11,8,11,11,21,40,51,91,33,19,37,36.2637362637363,20.8791208791209,56.043956043956,43.956043956044,-0.275,2022-06-07,403,3,"M","Ymaze","Y029","I","F","I-F","11",NA,"keep","keep"
"Y029_13",1,0,0,0,1,0,0,0,3,1,4,1,0,1,25,0,25,75,0.666666666666667,2022-06-07,405,3,"M","Ymaze","Y029","I","F","I-F","13",NA,"keep","keep"
"Y029_14",17,7,3,12,7,7,12,20,40,47,87,37,10,38,42.5287356321839,11.4942528735632,54.0229885057471,45.9770114942529,-0.175,2022-06-07,406,3,"M","Ymaze","Y029","I","F","I-F","14",NA,"keep","keep"
